x y z
5.9 5.35 304
7.5 .58 360
7.55 4.45 418
4.0 6.45 415
8.2 7.1 400
2.0 5.4 269
8.3 5.6 198
10.05 5.9 70
8.75 4.05 668
1.7 2.75 480
.95 3.65 66
10.55 4.45 273
1.05 3.3 88
10.65 2.6 175
10.65 2.2 220
9.6 .8 232
9.6 1.3 255
8.85 1.5 396
8.4 1.6 341
8.0 1.75 200
7.7 1.4 372
2.85 3.55 580
2.55 3.85 542
2.3 4.15 346
2.6 4.75 255
2.15 4.5 608
2.25 5.9 346
2.3 6.35 575
2.75 7.3 197
2.0 7.3 224
3.1 7.45 174
2.7 7.85 364
4.25 8.25 271
5.1 8.35 48
7.4 7.35 295
6.65 8.2 65
7.75 7.1 450
7.05 8.0 238
8.45 6.8 430
7.4 7.85 183
8.8 6.65 248
7.75 7.65 620
9.1 6.5 153
9.35 6.15 116
8.5 7.25 107
9.7 5.95 106
8.85 7.1 207
10.35 5.55 59
9.2 6.95 406
10.5 5.95 64
10.75 5.6 360
10.6 3.0 361
6.75 4.55 343
5.7 4.75 276
3.35 5.55  196
3.9 8.65 254
4.65 8.7 263
7.15 4.15 321
9.3 1.9 385
8.9 1.95 642
8.55 2.1 241
8.1  2.25 315
2.85 5.5 346
8.15 6.4 376
8.8 6.15 314
9.8 5.3 70
10.15 3.5 310
2.85 3.2 458
4.45 7.45 335
4.0 7.95 289
8.7 2.25 313
9.65 2.05 510
