  BPchange   Dose Run Treatment Animal 
01    0.50   6.25  C1   Control     R1
02    4.50  12.50  C1   Control     R1
03   10.00  25.00  C1   Control     R1
04   26.00  50.00  C1   Control     R1
05   37.00 100.00  C1   Control     R1
06   32.00 200.00  C1   Control     R1
07    1.00   6.25  C2   Control     R2
08    1.25  12.50  C2   Control     R2
09    4.00  25.00  C2   Control     R2
10   12.00  50.00  C2   Control     R2
11   27.00 100.00  C2   Control     R2
12   29.00 200.00  C2   Control     R2
13    0.75   6.25  C3   Control     R3
14    3.00  12.50  C3   Control     R3
15    3.00  25.00  C3   Control     R3
16   14.00  50.00  C3   Control     R3
17   22.00 100.00  C3   Control     R3
18   24.00 200.00  C3   Control     R3
19    1.25   6.25  C4   Control     R4
20    1.50  12.50  C4   Control     R4
21    6.00  25.00  C4   Control     R4
22   19.00  50.00  C4   Control     R4
23   33.00 100.00  C4   Control     R4
24   33.00 200.00  C4   Control     R4
25    1.50   6.25  C5   Control     R5
26    1.50  12.50  C5   Control     R5
27    5.00  25.00  C5   Control     R5
28   16.00  50.00  C5   Control     R5
29   20.00 100.00  C5   Control     R5
30   18.00 200.00  C5   Control     R5
31    1.25   6.25  M1       MDL     R1
32    0.75  12.50  M1       MDL     R1
33    4.00  25.00  M1       MDL     R1
34    9.00  50.00  M1       MDL     R1
35   25.00 100.00  M1       MDL     R1
36   37.00 200.00  M1       MDL     R1
37    1.40   6.25  M2       MDL     R2
38    1.70  12.50  M2       MDL     R2
39    1.00  25.00  M2       MDL     R2
40    2.00  50.00  M2       MDL     R2
41   15.00 100.00  M2       MDL     R2
42   28.00 200.00  M2       MDL     R2
43    0.75   6.25  M3       MDL     R3
44    2.30  12.50  M3       MDL     R3
45    3.00  25.00  M3       MDL     R3
46    5.00  50.00  M3       MDL     R3
47   26.00 100.00  M3       MDL     R3
48   25.00 200.00  M3       MDL     R3
49    2.60   6.25  M4       MDL     R4
50    1.20  12.50  M4       MDL     R4
51    2.00  25.00  M4       MDL     R4
52    3.00  50.00  M4       MDL     R4
53   11.00 100.00  M4       MDL     R4
54   22.00 200.00  M4       MDL     R4
55    2.40   6.25  M5       MDL     R5
56    2.50  12.50  M5       MDL     R5
57    1.50  25.00  M5       MDL     R5
58    2.00  50.00  M5       MDL     R5
59    9.00 100.00  M5       MDL     R5
60   19.00 200.00  M5       MDL     R5
