       No         SG    VP   V10    EP      Y
01	A       50.8   8.6   190   205   12.2
02	A       50.8   8.6   190   275   22.3
03	A       50.8   8.6   190   345   34.7
04	A       50.8   8.6   190   407   45.7
05	B       40.8   3.5   210   218    8.0
06	B       40.8   3.5   210   273   13.1
07	B       40.8   3.5   210   347   26.6
08	C       40.0   6.1   217   212    7.4
09	C       40.0   6.1   217   272   18.2
10	C       40.0   6.1   217   340   30.4
11	D       38.4   6.1   220   235    6.9
12	D       38.4   6.1   220   300   15.2
13	D       38.4   6.1   220   365   26.0
14	D       38.4   6.1   220   410   33.6
15	E       40.3   4.8   231   307   14.4
16	E       40.3   4.8   231   367   26.8
17	E       40.3   4.8   231   395   34.9
18	F       32.2   5.2   236   267   10.0
19	F       32.2   5.2   236   360   24.8
20	F       32.2   5.2   236   402   31.7
21	G       41.3   1.8   267   235    2.8
22	G       41.3   1.8   267   275    6.4
23	G       41.3   1.8   267   358   16.1
24	G       41.3   1.8   267   416   27.8
25	H       38.1   1.2   274   285    5.0
26	H       38.1   1.2   274   365   17.6
27	H       38.1   1.2   274   444   32.1
28	I       32.2   2.4   284   351   14.0
29	I       32.2   2.4   284   424   23.2	
30	J       31.8   0.2   316   365    8.5
31	J       31.8   0.2   316   379   14.7
32	J       31.8   0.2   316   428   18.0

































