      Viscosity      Wt       Time
01         14.7      20       35.6
02         27.5      20       54.3
03         42.0      20       75.6
04         75.7      20      121.2
05         89.7      20      150.8
06        146.6      20      229.0
07        158.3      20      270.0
08         14.7      50       17.6                    
09         27.5      50       24.3                    
10         42.0      50       31.4                    
11         75.7      50       47.2
12         89.7      50       58.3
13        146.6      50       85.6
14        158.3      50      101.1
15        161.1      50       92.2
16        298.3      50      187.2
17         75.7     100       24.6
18         89.7     100       30.0
19        146.6     100       41.7
20        158.3     100       50.3
21        161.1     100       45.1
22        298.3     100       89.0
23        298.3     100       86.5
