      Eth   Sex   Age    Lrn    Days
001    A     M     F0     SL       2
002    A     M     F0     SL      11             
003    A     M     F0     SL      14
004    A     M     F0     AL       5
005    A     M     F0     AL       5                  
006    A     M     F0     AL      13
007    A     M     F0     AL      20
008    A     M     F0     AL      22 
009    A     M     F1     SL       6
010    A     M     F1     SL       6
011    A     M     F1     SL      15
012    A     M     F1     AL       7
013    A     M     F1     AL      14
014    A     M     F2     SL       6
015    A     M     F2     SL      32
016    A     M     F2     SL      53
017    A     M     F2     SL      57
018    A     M     F2     AL      14
019    A     M     F2     AL      16
020    A     M     F2     AL      16
021    A     M     F2     AL      17
022    A     M     F2     AL      40 
023    A     M     F2     AL      43
024    A     M     F2     AL      46
025    A     M     F3     AL       8
026    A     M     F3     AL      23
027    A     M     F3     AL      23
028    A     M     F3     AL      28
029    A     M     F3     AL      34 
030    A     M     F3     AL      36
031    A     M     F3     AL      38
032    A     F     F0     SL       3
033    A     F     F0     AL       5
034    A     F     F0     AL      11
035    A     F     F0     AL      24
036    A     F     F0     AL      45
037    A     F     F1     SL       5
038    A     F     F1     SL       6
039    A     F     F1     SL       6
040    A     F     F1     SL       9
041    A     F     F1     SL      13 
042    A     F     F1     SL      23
043    A     F     F1     SL      25
044    A     F     F1     SL      32
045    A     F     F1     SL      53 
046    A     F     F1     SL      54
047    A     F     F1     AL       5
048    A     F     F1     AL       5
049    A     F     F1     AL      11
050    A     F     F1     AL      17
051    A     F     F1     AL      19 
052    A     F     F2     SL       8
053    A     F     F2     SL      13
054    A     F     F2     SL      14
055    A     F     F2     SL      20
056    A     F     F2     SL      47 
057    A     F     F2     SL      48
058    A     F     F2     SL      60
059    A     F     F2     SL      81
060    A     F     F2     AL       2
061    A     F     F3     AL       0
062    A     F     F3     AL       2
063    A     F     F3     AL       3
064    A     F     F3     AL       5
065    A     F     F3     AL      10 
066    A     F     F3     AL      14
067    A     F     F3     AL      21
068    A     F     F3     AL      36
069    A     F     F3     AL      40 
070    N     M     F0     SL       6
071    N     M     F0     SL      17
072    N     M     F0     SL      67
073    N     M     F0     AL       0
074    N     M     F0     AL       0
075    N     M     F0     AL       2
076    N     M     F0     AL       7
077    N     M     F0     AL      11 
078    N     M     F0     AL      12
079    N     M     F1     SL       0
080    N     M     F1     SL       0
081    N     M     F1     SL       5
082    N     M     F1     SL       5
083    N     M     F1     SL       5 
084    N     M     F1     SL      11
085    N     M     F1     SL      17
086    N     M     F1     AL       3
087    N     M     F1     AL       4
088    N     M     F2     SL      22
089    N     M     F2     SL      30
090    N     M     F2     SL      36
091    N     M     F2     AL       8 
092    N     M     F2     AL       0
093    N     M     F2     AL       1
094    N     M     F2     AL       5
095    N     M     F2     AL       7
096    N     M     F2     AL      16
097    N     M     F2     AL      27
098    N     M     F3     AL       0
099    N     M     F3     AL      30 
100    N     M     F3     AL      10
101    N     M     F3     AL      14
102    N     M     F3     AL      27
103    N     M     F3     AL      41
104    N     M     F3     AL      69
105    N     F     F0     SL      25
106    N     F     F0     AL      10
107    N     F     F0     AL      11
108    N     F     F0     AL      20
109    N     F     F0     AL      33
110    N     F     F1     SL       5 
111    N     F     F1     SL       7 
112    N     F     F1     SL       0
113    N     F     F1     SL       1
114    N     F     F1     SL       5
115    N     F     F1     SL       5
116    N     F     F1     SL       5
117    N     F     F1     SL       5
118    N     F     F1     SL       7
119    N     F     F1     SL      11
120    N     F     F1     SL      15
121    N     F     F1     AL       5
122    N     F     F1     AL      14 
123    N     F     F1     AL       6
124    N     F     F1     AL       6
125    N     F     F1     AL       7
126    N     F     F1     AL      28
127    N     F     F2     SL       0
128    N     F     F2     SL       5 
129    N     F     F2     SL      14 
130    N     F     F2     SL       2
131    N     F     F2     SL       2
132    N     F     F2     SL       3
133    N     F     F2     SL       8
134    N     F     F2     SL      10
135    N     F     F2     SL      12
136    N     F     F2     AL       1
137    N     F     F3     AL       1
138    N     F     F3     AL       9 
139    N     F     F3     AL      22 
140    N     F     F3     AL       3
141    N     F     F3     AL       3
142    N     F     F3     AL       5
143    N     F     F3     AL      15
144    N     F     F3     AL      18
145    N     F     F3     AL      22
146    N     F     F3     AL      37
