mfr,calories,protein,fat,sodium,fibre,carbo,sugars,shelf,potassium,vitamins
100% Bran,N,212.12121,12.1212121,3.0303030,393.93939,30.303030,15.15152,18.181818,3,848.48485,enriched
All-Bran,K,212.12121,12.1212121,3.0303030,787.87879,27.272727,21.21212,15.151515,3,969.69697,enriched
All-Bran with Extra Fiber,K,100.00000, 8.0000000,0.0000000,280.00000,28.000000,16.00000, 0.000000,3,660.00000,enriched
Apple Cinnamon Cheerios,G,146.66667, 2.6666667,2.6666667,240.00000, 2.000000,14.00000,13.333333,1, 93.33333,enriched
Apple Jacks,K,110.00000, 2.0000000,0.0000000,125.00000, 1.000000,11.00000,14.000000,2, 30.00000,enriched
Basic 4,G,173.33333, 4.0000000,2.6666667,280.00000, 2.666667,24.00000,10.666667,3,133.33333,enriched
Bran Chex,R,134.32836, 2.9850746,1.4925373,298.50746, 5.970149,22.38806, 8.955224,1,186.56716,enriched
Bran Flakes,P,134.32836, 4.4776119,0.0000000,313.43284, 7.462687,19.40299, 7.462687,3,283.58209,enriched
Cap'n'Crunch,Q,160.00000, 1.3333333,2.6666667,293.33333, 0.000000,16.00000,16.000000,2, 46.66667,enriched
Cheerios,G, 88.00000, 4.8000000,1.6000000,232.00000, 1.600000,13.60000, 0.800000,1, 84.00000,enriched
Cinnamon Toast Crunch,G,160.00000, 1.3333333,4.0000000,280.00000, 0.000000,17.33333,12.000000,2, 60.00000,enriched
Clusters,G,220.00000, 6.0000000,4.0000000,280.00000, 4.000000,26.00000,14.000000,3,210.00000,enriched
Cocoa Puffs,G,110.00000, 1.0000000,1.0000000,180.00000, 0.000000,12.00000,13.000000,2, 55.00000,enriched
Corn Chex,R,110.00000, 2.0000000,0.0000000,280.00000, 0.000000,22.00000, 3.000000,1, 25.00000,enriched
Corn Flakes,K,100.00000, 2.0000000,0.0000000,290.00000, 1.000000,21.00000, 2.000000,1, 35.00000,enriched
Corn Pops,K,110.00000, 1.0000000,0.0000000, 90.00000, 1.000000,13.00000,12.000000,2, 20.00000,enriched
Count Chocula,G,110.00000, 1.0000000,1.0000000,180.00000, 0.000000,12.00000,13.000000,2, 65.00000,enriched
Cracklin' Oat Bran,K,220.00000, 6.0000000,6.0000000,280.00000, 8.000000,20.00000,14.000000,3,320.00000,enriched
Crispix,K,110.00000, 2.0000000,0.0000000,220.00000, 1.000000,21.00000, 3.000000,3, 30.00000,enriched
Crispy Wheat & Raisins,G,133.33333, 2.6666667,1.3333333,186.66667, 2.666667,14.66667,13.333333,3,160.00000,enriched
Double Chex,R,133.33333, 2.6666667,0.0000000,253.33333, 1.333333,24.00000, 6.666667,3,106.66667,enriched
Froot Loops,K,110.00000, 2.0000000,1.0000000,125.00000, 1.000000,11.00000,13.000000,2, 30.00000,enriched
Frosted Flakes,K,146.66667, 1.3333333,0.0000000,266.66667, 1.333333,18.66667,14.666667,1, 33.33333,enriched
