    Strip Conc Length 
  3   S01 1.00   15.8
  4   S01 2.00   20.8
  5   S01 3.00   22.6
  6   S01 4.00   23.8
  9   S02 1.00   20.6
 10   S02 2.00   26.8
 11   S02 3.00   28.4
 12   S02 4.00   27.0
 13   S03 0.25    7.2
 14   S03 0.50   15.4
 15   S03 1.00   22.8
 16   S03 2.00   27.4
 19   S04 0.25    2.2
 20   S04 0.50    9.0
 21   S04 1.00   16.6
 25   S05 0.25    2.0
 26   S05 0.50    6.0
 27   S05 1.00   15.2
 31   S06 0.25    5.0
 32   S06 0.50    9.2
 33   S06 1.00   14.2
 39   S07 1.00   28.0
 40   S07 2.00   32.0
 43   S08 0.25    5.6
 45   S08 1.00   26.0
 50   S09 0.50   15.4
 51   S09 1.00   23.2
 55   S10 0.25   11.8
 57   S10 1.00   29.0
 61   S11 0.25   11.0
 62   S11 0.50   18.8
 63   S11 1.00   26.2
 69   S12 1.00   26.0
 70   S12 2.00   33.8
 75   S13 1.00   24.2
 76   S13 2.00   28.8
 80   S14 0.50   15.0
 81   S14 1.00   24.0
 86   S15 0.50   20.8
 87   S15 1.00   29.0
 93   S16 1.00   18.2
 94   S16 2.00   25.8
 95   S16 3.00   30.0
 96   S16 4.00   32.2
 99   S17 1.00   21.5
100   S17 2.00   28.4
101   S17 3.00   32.0
102   S17 4.00   29.6
105   S18 1.00   15.4
106   S18 2.00   19.0
107   S18 3.00   19.4
111   S19 1.00   29.0
112   S19 2.00   34.0
113   S19 3.00   37.0
117   S20 1.00   22.2
118   S20 2.00   29.0
119   S20 3.00   32.2
123   S21 1.00   23.0
124   S21 2.00   27.4
125   S21 3.00   30.4
