Age Total Menarche
   9.21  376.00    0.00
  10.21  200.00    0.00
  10.58   93.00    0.00
  10.83  120.00    2.00
  11.08   90.00    2.00
  11.33   88.00    5.00
  11.58  105.00   10.00
  11.83  111.00   17.00
  12.08  100.00   16.00
  12.33   93.00   29.00
  12.58  100.00   39.00
  12.83  108.00   51.00
  13.08   99.00   47.00
  13.33  106.00   67.00
  13.58  105.00   81.00
  13.83  117.00   88.00
  14.08   98.00   79.00
  14.33   97.00   90.00
  14.58  120.00  113.00
  14.83  102.00   95.00
  15.08  122.00  117.00
  15.33  111.00  107.00
  15.58   94.00   92.00
  15.83  114.00  112.00
  17.58 1049.00 1049.00
