District Group Age Holders Claims
1    1    1     197  38 
1    1    2     264  35 
1    1    3     246  20 
1    1    4    1680 156 
1    2    1     284  63 
1    2    2     536  84 
1    2    3     696  89 
1    2    4    3582 400 
1    3    1     133  19 
1    3    2     286  52 
1    3    3     355  74 
1    3    4    1640 233 
1    4    1      24   4 
1    4    2      71  18 
1    4    3      99  19 
1    4    4     452  77 
2    1    1      85  22 
2    1    2     139  19 
2    1    3     151  22 
2    1    4     931  87 
2    2    1     149  25 
2    2    2     313  51 
2    2    3     419  49 
2    2    4    2443 290 
2    3    1      66  14 
2    3    2     175  46 
2    3    3     221  39 
2    3    4    1110 143 
2    4    1       9   4 
2    4    2      48  15 
2    4    3      72  12 
2    4    4     322  53 
3    1    1      35   5 
3    1    2      73  11 
3    1    3      89  10 
3    1    4     648  67 
3    2    1      53  10 
3    2    2     155  24 
3    2    3     240  37 
3    2    4    1635 187 
3    3    1      24   8 
3    3    2      78  19 
3    3    3     121  24 
3    3    4     692 101 
3    4    1       7   3 
3    4    2      29   2 
3    4    3      43   8 
3    4    4     245  37 
4    1    1      20   2 
4    1    2      33   5 
4    1    3      40   4 
4    1    4     316  36 
4    2    1      31   7 
4    2    2      81  10 
4    2    3     122  22 
4    2    4     724 102 
4    3    1      18   5 
4    3    2      39   7 
4    3    3      68  16 
4    3    4     344  63 
4    4    1       3   0 
4    4    2      16   6 
4    4    3      25   8 
4    4    4     114  33 
